subdir,img_dir,num_pred_classes,avg_l2,std_l2,avg_l2_class_0,std_l2_class_0,avg_l2_class_1,std_l2_class_1,avg_l2_class_2,std_l2_class_2,avg_l2_class_3,std_l2_class_3,avg_l2_class_4,std_l2_class_4,avg_l2_class_5,std_l2_class_5,avg_l2_class_6,std_l2_class_6,avg_l2_class_7,std_l2_class_7,avg_l2_class_8,std_l2_class_8,avg_l2_class_9,std_l2_class_9
cifar10_stochastic_alpha_0.1_test_img_275-280_iters_500,img_275,2,0.0023391367122530937,0.006867093407094003,,,,,,,0.024566255509853363,0.0034677649979196873,,,0.0016517000484097865,0.005700106134502825,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_275-280_iters_500,img_278,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_190-195_iters_500,img_193,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_190-195_iters_500,img_192,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_190-195_iters_500,img_190,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_190-195_iters_500,img_194,1,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
cifar10_stochastic_alpha_0.1_test_img_190-195_iters_500,img_191,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_205-210_iters_500,img_207,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_205-210_iters_500,img_209,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_205-210_iters_500,img_206,2,0.0301880706846714,0.010608534647958169,0.013839284423738718,0.018018056165692582,,,,,,,,,,,,,,,0.03330212521056334,0.0033957150607197614,,
cifar10_stochastic_alpha_0.1_test_img_205-210_iters_500,img_205,1,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_205-210_iters_500,img_208,1,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
cifar10_stochastic_alpha_0.1_test_img_110-115_iters_500,img_113,1,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_110-115_iters_500,img_114,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_110-115_iters_500,img_110,2,0.03166927034035325,0.006725295004242723,,,,,,,,,0.02332286350429058,0.014154945008854189,,,0.03280741672708907,0.003644214581634521,,,,,,
